sample,source file,slope sign,rt mean,rt std,rt var,rt iqr,rt min,rt max,rt amp,rt skew,rt kurt,frac late,n switches,domain len mean mb,domain len median mb,acf 500kb,uuid,case id,file name,case_id,file id,file name_slides,data category,data type,project id,case id_slides,sample id,tissue type,tumor descriptor,specimen type,preservation method
0.065826025449038,/fs/scratch/PAS2942/Alejandro/datasets/meth/00640589-db82-485f-aec9-8ffde073fb42/8d1313bd-dd32-4020-b7d1-60f6fa40dc5b.methylation_array.sesame.level3betas.txt,1.0,-0.0260176227063537,0.5708730342952978,0.3258960212855202,0.8166119210720548,-1.952116343224981,1.1712442782232286,3.1233606214482097,-0.2745448309922544,-0.3727780087342793,0.4999826527426014,1485.0,1.939636608344549,1.2000000000000002,0.7408313814882016,00640589-db82-485f-aec9-8ffde073fb42,TCGA-AR-A5QN,8d1313bd-dd32-4020-b7d1-60f6fa40dc5b.methylation_array.sesame.level3betas.txt,tcga-ar-a5qn,05ffdee7-034e-444a-97be-2351616f91a5,TCGA-AR-A5QN-01A-01-TSA.9C7C7262-11B4-4EBA-93EA-2AADAC2710AD.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-AR-A5QN,TCGA-AR-A5QN-01A,Tumor,Primary,Solid Tissue,OCT
0.168312585649299,/fs/scratch/PAS2942/Alejandro/datasets/meth/0079b380-6f22-46d4-b86f-e63772ee0b5a/b7fcc8cf-f1f3-453d-a9ca-375924557d53.methylation_array.sesame.level3betas.txt,1.0,-0.0027286854815186,0.4733707907306417,0.224079905516953,0.6864688249934967,-1.4335799578632555,1.0390252889356026,2.4726052467988584,-0.1185749873071812,-0.4720903128194309,0.4999826527426014,1533.0,1.8789439374185133,1.2000000000000002,0.7277928375124658,0079b380-6f22-46d4-b86f-e63772ee0b5a,TCGA-AC-A3TN,b7fcc8cf-f1f3-453d-a9ca-375924557d53.methylation_array.sesame.level3betas.txt,tcga-ac-a3tn,a3abce92-9478-49bb-a49a-ba0c0e89a5ac,TCGA-AC-A3TN-01A-01-TS1.3A67E6A5-80D8-48BB-9D1B-8BC3F38B5739.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-AC-A3TN,TCGA-AC-A3TN-01A,Tumor,Primary,Solid Tissue,Unknown
0.184652424021019,/fs/scratch/PAS2942/Alejandro/datasets/meth/008f99df-4bb1-4f2d-87b9-4e60807f6195/0281de9b-0aed-44bd-b4bc-a2636826f92a.methylation_array.sesame.level3betas.txt,1.0,-0.010760812987728,0.5013933948899687,0.2513953364392881,0.7198651566437728,-1.5388339646038198,1.13410157956407,2.6729355441678897,-0.1411560365663982,-0.4660911215437378,0.4999826527426014,1509.0,1.908807947019868,1.2000000000000002,0.7363898783737627,008f99df-4bb1-4f2d-87b9-4e60807f6195,TCGA-AC-A3HN,0281de9b-0aed-44bd-b4bc-a2636826f92a.methylation_array.sesame.level3betas.txt,tcga-ac-a3hn,9666fc65-cc41-4156-8127-ed3e4d30d9c0,TCGA-AC-A3HN-01A-01-TSA.D9B963D0-367F-4D94-B4CC-9C02FF529CB2.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-AC-A3HN,TCGA-AC-A3HN-01A,Tumor,Primary,Unknown,Unknown
0.294410317970655,/fs/scratch/PAS2942/Alejandro/datasets/meth/0099567f-6c93-46e7-827a-ecbae391b6cd/5a1f5fec-5e73-4ef3-8b11-64c98d5dcfd2.methylation_array.sesame.level3betas.txt,1.0,-0.0205079741989284,0.505310750999523,0.255338955075702,0.7032740818440774,-1.726989652477461,1.1295194363021692,2.8565090887796303,-0.2480735507834565,-0.2864635045380961,0.4999826527426014,1538.0,1.87283950617284,1.2000000000000002,0.7261985986245217,0099567f-6c93-46e7-827a-ecbae391b6cd,TCGA-C8-A275,5a1f5fec-5e73-4ef3-8b11-64c98d5dcfd2.methylation_array.sesame.level3betas.txt,tcga-c8-a275,455fd959-89ed-429a-9475-b66dce0a1699,TCGA-C8-A275-01A-02-TSB.b15cf752-5b2f-4f2a-9a03-7519bea81732.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-C8-A275,TCGA-C8-A275-01A,Tumor,Primary,Solid Tissue,OCT
,/fs/scratch/PAS2942/Alejandro/datasets/meth/00a8e36b-3f31-4b01-afbb-e355830b720d/1f7641c4-1a24-4b26-9489-369160927ae1.methylation_array.sesame.level3betas.txt,1.0,-0.0015603667461585,0.5781614716302649,0.3342706872776736,0.8450218128976335,-1.7797249450903263,1.2217168711782052,3.001441816268532,-0.2090218924720009,-0.4851310458413702,0.4999826527426014,1575.0,1.8288705583756344,1.2000000000000002,0.7179612979263983,00a8e36b-3f31-4b01-afbb-e355830b720d,TCGA-AO-A126,1f7641c4-1a24-4b26-9489-369160927ae1.methylation_array.sesame.level3betas.txt,tcga-ao-a126,b6371944-5ebe-45bd-9b10-0f19856f3dc5,TCGA-AO-A126-01A-01-BSA.d9c05421-91fc-4fdd-988d-2b404fa24095.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-AO-A126,TCGA-AO-A126-01A,Tumor,Primary,Solid Tissue,OCT
,/fs/scratch/PAS2942/Alejandro/datasets/meth/00a8e36b-3f31-4b01-afbb-e355830b720d/1f7641c4-1a24-4b26-9489-369160927ae1.methylation_array.sesame.level3betas.txt,1.0,-0.0015603667461585,0.5781614716302649,0.3342706872776736,0.8450218128976335,-1.7797249450903263,1.2217168711782052,3.001441816268532,-0.2090218924720009,-0.4851310458413702,0.4999826527426014,1575.0,1.8288705583756344,1.2000000000000002,0.7179612979263983,00a8e36b-3f31-4b01-afbb-e355830b720d,TCGA-AO-A126,1f7641c4-1a24-4b26-9489-369160927ae1.methylation_array.sesame.level3betas.txt,tcga-ao-a126,998b0101-a062-491a-8251-04b2839cc438,TCGA-AO-A126-01A-01-TSA.399484a5-e833-4acd-a73b-1fd5a684e7c1.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-AO-A126,TCGA-AO-A126-01A,Tumor,Primary,Solid Tissue,OCT
0.865310277919857,/fs/scratch/PAS2942/Alejandro/datasets/meth/00c656d5-afb4-475e-aada-81ed728c42e4/ee2026e1-ac8e-420b-ab7f-9aa12b334875.methylation_array.sesame.level3betas.txt,1.0,1.1744531203431356,2.95368426061689,8.724250711415943,4.282452589892431,-1.6488690072631076,10.49979573858209,12.148664745845196,1.061095543863234,0.0889969740081881,0.4999826527426014,600.0,4.795840266222962,2.7,0.9176881937723896,00c656d5-afb4-475e-aada-81ed728c42e4,TCGA-A8-A090,ee2026e1-ac8e-420b-ab7f-9aa12b334875.methylation_array.sesame.level3betas.txt,tcga-a8-a090,a6bd7f98-113d-4027-b6fc-4f395ee348b6,TCGA-A8-A090-01A-01-BS1.8191e1aa-9dc1-4474-ba6e-92e33942722e.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-A8-A090,TCGA-A8-A090-01A,Tumor,Primary,Unknown,Unknown
0.865310277919857,/fs/scratch/PAS2942/Alejandro/datasets/meth/00c656d5-afb4-475e-aada-81ed728c42e4/ee2026e1-ac8e-420b-ab7f-9aa12b334875.methylation_array.sesame.level3betas.txt,1.0,1.1744531203431356,2.95368426061689,8.724250711415943,4.282452589892431,-1.6488690072631076,10.49979573858209,12.148664745845196,1.061095543863234,0.0889969740081881,0.4999826527426014,600.0,4.795840266222962,2.7,0.9176881937723896,00c656d5-afb4-475e-aada-81ed728c42e4,TCGA-A8-A090,ee2026e1-ac8e-420b-ab7f-9aa12b334875.methylation_array.sesame.level3betas.txt,tcga-a8-a090,b8c35108-a111-4704-b615-89f896370eb4,TCGA-A8-A090-01A-01-TS1.6fd65ca8-2e04-4f0b-902a-070cd65c2d93.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-A8-A090,TCGA-A8-A090-01A,Tumor,Primary,Unknown,Unknown
0.35529776137732,/fs/scratch/PAS2942/Alejandro/datasets/meth/01407edb-e665-4194-ade5-2bf7afdc36fa/d17a8837-f508-4e0f-a23d-be6cf99879b1.methylation_array.sesame.level3betas.txt,1.0,-0.0177157336939466,0.4897216460915494,0.2398272906506168,0.6669495566810277,-1.74173608164545,1.2112767639390103,2.9530128455844604,-0.2599373023387247,-0.1038387473156903,0.4999826527426014,1567.0,1.838201530612245,1.2000000000000002,0.714213844516767,01407edb-e665-4194-ade5-2bf7afdc36fa,TCGA-LD-A7W5,d17a8837-f508-4e0f-a23d-be6cf99879b1.methylation_array.sesame.level3betas.txt,tcga-ld-a7w5,0c63d458-cfc9-4033-921b-83dfbdd2c206,TCGA-LD-A7W5-01A-02-TSB.9D98EC5D-6842-440B-95E9-4F91DDB9DCA0.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-LD-A7W5,TCGA-LD-A7W5-01A,Tumor,Primary,Solid Tissue,OCT
0.136959397467524,/fs/scratch/PAS2942/Alejandro/datasets/meth/0166a42c-e905-490e-a07a-dd084b3c4534/ef0c17dd-be28-4c1c-9ced-9f328b6c423a.methylation_array.sesame.level3betas.txt,1.0,0.0076796711603218,0.4436787417459506,0.1968508258772699,0.647209477148463,-1.0852249533564906,0.9124674401723966,1.997692393528887,-0.0414295322899707,-0.6734340215094154,0.4999826527426014,1536.0,1.8752765126870528,1.1,0.7432744427503428,0166a42c-e905-490e-a07a-dd084b3c4534,TCGA-A1-A0SK,ef0c17dd-be28-4c1c-9ced-9f328b6c423a.methylation_array.sesame.level3betas.txt,tcga-a1-a0sk,e8c3ca12-523f-48f5-8842-f4f0536fa964,TCGA-A1-A0SK-01A-01-TSA.0b2432b1-5781-4725-bb85-7547c7ae9f36.svs,Biospecimen,Slide Image,TCGA-BRCA,TCGA-A1-A0SK,TCGA-A1-A0SK-01A,Tumor,Primary,Unknown,OCT
